City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sitka,76,US,1525184418,52,37.17,-99.65,75.91,25.86
1,skjervoy,0,NO,1525184419,97,70.03,20.97,39.55,10.2
2,rikitea,48,PF,1525184419,100,-23.12,-134.97,77.17,4.16
3,iqaluit,75,CA,1525179600,60,63.75,-68.52,8.6,10.29
4,arraial do cabo,0,BR,1525183200,62,-22.97,-42.02,84.2,4.7
5,punta arenas,0,CL,1525183200,86,-53.16,-70.91,37.4,10.29
6,inuvik,75,CA,1525179600,64,68.36,-133.71,39.2,5.82
7,kununurra,0,AU,1525183200,68,-15.77,128.74,69.8,7.4
8,kapaa,1,US,1525182960,93,22.08,-159.32,62.6,4.7
9,tuktoyaktuk,75,CA,1525179600,92,69.44,-133.03,32.0,12.75
10,lavrentiya,88,RU,1525184420,100,65.58,-170.99,20.56,21.83
11,busselton,88,AU,1525184420,100,-33.64,115.35,62.32,16.91
12,leningradskiy,32,RU,1525184420,73,69.38,178.42,8.59,16.35
13,castro,88,CL,1525184420,100,-42.48,-73.76,50.53,3.27
14,bluff,92,AU,1525184421,72,-23.58,149.07,66.82,8.63
15,roma,40,IT,1525180800,67,41.89,12.48,66.2,6.93
16,chuy,8,UY,1525184421,91,-33.69,-53.46,68.26,9.98
17,ilulissat,75,GL,1525182600,73,69.22,-51.1,24.8,10.29
18,puerto ayora,20,EC,1525183200,83,-0.74,-90.35,78.8,10.29
19,aitape,80,PG,1525184421,100,-3.15,142.36,80.59,4.61
20,albany,1,US,1525182840,50,42.65,-73.75,53.6,8.05
21,qaanaaq,8,GL,1525184422,92,77.48,-69.36,2.38,8.19
22,yellowknife,20,CA,1525179600,67,62.45,-114.38,21.2,4.7
23,mahebourg,75,MU,1525179600,78,-20.41,57.7,78.8,17.22
24,mataura,68,NZ,1525184422,89,-46.19,168.86,43.96,7.4
25,atuona,92,PF,1525184422,100,-9.8,-139.03,78.61,15.79
26,preobrazheniye,92,RU,1525184422,94,42.9,133.91,43.96,1.7
27,bogorodskoye,0,RU,1525184423,83,52.37,140.44,24.52,1.92
28,bathsheba,40,BB,1525179600,74,13.22,-59.52,82.4,23.04
29,hermanus,24,ZA,1525184423,26,-34.42,19.24,76.09,2.26
30,hauterive,0,FR,1525183200,47,46.09,3.45,57.2,4.7
31,elliot,0,ZA,1525184423,36,-31.33,27.85,63.4,3.94
32,esperance,40,TT,1525179600,74,10.24,-61.45,82.4,18.34
33,esso,64,RU,1525184424,90,55.93,158.7,16.51,2.48
34,half moon bay,90,US,1525183200,87,37.46,-122.43,51.8,5.82
35,cherskiy,68,RU,1525184424,73,68.75,161.3,12.55,1.92
36,beloha,8,MG,1525184424,49,-25.17,45.06,79.51,18.14
37,cape town,0,ZA,1525179600,35,-33.93,18.42,73.4,10.29
38,east london,0,ZA,1525179600,57,-33.02,27.91,78.8,6.93
39,the valley,75,AI,1525183200,65,18.22,-63.06,82.4,14.99
40,snasa,88,NO,1525184425,76,64.25,12.38,37.75,9.19
41,itigi,36,TZ,1525184425,43,-5.7,34.5,78.52,12.77
42,usagara,75,TZ,1525179600,73,-2.68,32.99,75.2,5.82
43,vaini,0,IN,1525184425,55,15.34,74.49,82.3,5.95
44,porto novo,20,BR,1525183200,57,-23.68,-45.44,77.0,5.82
45,port alfred,0,ZA,1525184425,65,-33.59,26.89,78.25,8.41
46,ushuaia,0,AR,1525183200,99,-54.81,-68.31,41.0,8.52
47,mar del plata,8,AR,1525184426,51,-46.43,-67.52,55.3,4.72
48,mehamn,0,NO,1525184426,88,71.03,27.85,36.13,3.71
49,fatick,0,SN,1525184426,12,14.33,-16.4,106.6,11.21
50,port keats,64,AU,1525184426,74,-14.25,129.55,78.88,5.73
51,susanville,1,US,1525182900,93,40.42,-120.65,39.2,3.36
52,hilo,90,US,1525183140,94,19.71,-155.08,71.6,3.36
53,mayumba,76,GA,1525184427,86,-3.44,10.65,84.28,4.94
54,varnamo,75,SE,1525182600,50,57.19,14.04,53.6,18.34
55,butaritari,92,KI,1525184427,100,3.07,172.79,83.47,10.76
56,temiscaming,90,CA,1525179600,45,46.72,-79.1,48.2,4.7
57,saldanha,56,PT,1525184427,59,41.42,-6.55,54.58,3.71
58,kokkola,75,FI,1525182600,61,63.84,23.13,50.0,13.87
59,thompson,20,CA,1525179600,59,55.74,-97.86,33.8,3.36
60,lahij,24,YE,1525184428,61,13.06,44.88,86.8,4.38
61,hobart,0,AU,1525183200,66,-42.88,147.33,55.4,12.75
62,nanortalik,44,GL,1525184428,92,60.14,-45.24,31.36,22.73
63,axim,8,GH,1525184428,97,4.87,-2.24,83.83,13.56
64,solnechnyy,12,RU,1525184428,54,50.72,136.64,36.04,4.72
65,new norfolk,0,AU,1525183200,66,-42.78,147.06,55.4,12.75
66,dingle,44,PH,1525184429,78,11.0,122.67,81.4,10.98
67,petukhovo,92,RU,1525184429,45,55.06,67.89,45.85,4.16
68,wang saphung,20,TH,1525184429,98,17.3,101.77,72.76,2.82
69,victoria,75,BN,1525181400,88,5.28,115.24,84.2,5.39
